run,label,update,compute_units,query_hops,inference_loops,accuracy,n,source
v2-fixed4-s20260913,Fixed 4 training,0,0,4,4,0.0859375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,0,0,4,6,0.078125,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,0,0,4,8,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,0,0,6,4,0.1015625,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,0,0,6,6,0.0859375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,0,0,6,8,0.0859375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,0,0,8,4,0.109375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,0,0,8,6,0.1171875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,0,0,8,8,0.09375,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/artifacts/v2-initializer-dev.json
v2-fixed4-s20260913,Fixed 4 training,200,240082944,4,4,0.421875,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v2-fixed4-s20260913/dev-200.json
