arm,phase,update,compute_units,group,query_hops,inference_loops,accuracy,correct,n,sources
fixed4,intermediate,400,511180800,unseen_9_12,"9,10,11,12",4,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,unseen_9_12,"9,10,11,12",6,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,unseen_9_12,"9,10,11,12",8,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,unseen_9_12,"9,10,11,12",16,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d6,6,4,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d6,6,6,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d6,6,8,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d6,6,16,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d8,8,4,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d8,8,6,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d8,8,8,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d8,8,16,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d1,1,4,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d1,1,6,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d1,1,8,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d1,1,16,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d2,2,4,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d2,2,6,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d2,2,8,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,400,511180800,d2,2,16,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-400.json
fixed4,intermediate,800,1022361600,unseen_9_12,"9,10,11,12",4,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-800.json
fixed4,intermediate,800,1022361600,unseen_9_12,"9,10,11,12",6,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-800.json
fixed4,intermediate,800,1022361600,unseen_9_12,"9,10,11,12",8,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-800.json
fixed4,intermediate,800,1022361600,unseen_9_12,"9,10,11,12",16,0.125,64,512,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-800.json
fixed4,intermediate,800,1022361600,d6,6,4,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-800.json
fixed4,intermediate,800,1022361600,d6,6,6,0.125,16,128,/Users/erv1n/.codex/.chatgpt-projects/g-p-6969e66e9a4881918d9ff7aae4c0608c/runs/v4-fixed4-s20260915/dev-800.json
