job	name	step	eval_window	n	accuracy	correct	trunc_pct	mean_tokens
2100758774330425344	loop-s6-stage2-vllm-math-0918	600	0	4	64.5	1290	17.6	2361
2101931197373353984	loop-s6-stage1-k1024v1024-m100-0921	100	0	1	41.2	206	34.6	3438
2101931197373353984	loop-s6-stage1-k1024v1024-m100-0921	200	0	1	56.6	283	28.0	3034
2101931197373353984	loop-s6-stage1-k1024v1024-m100-0921	300	0	1	63.8	319	18.4	2435
2101931197373353984	loop-s6-stage1-k1024v1024-m100-0921	400	0	1	67.4	337	17.8	2475
2101931197373353984	loop-s6-stage1-k1024v1024-m100-0921	500	0	1	70.2	351	16.6	2366
2101931197373353984	loop-s6-stage1-k1024v1024-m100-0921	600	0	1	69.2	346	16.4	2376
2102210430586851328	loop-s6-gated-stage1-math-0922	100	0	1	46.8	234	30.8	3279
2102210430586851328	loop-s6-gated-stage1-math-0922	200	0	1	60.2	301	20.6	2595
2102210430586851328	loop-s6-gated-stage1-math-0922	300	0	1	61.2	306	20.2	2572
2102210430586851328	loop-s6-gated-stage1-math-0922	400	0	1	62.4	312	20.2	2564
2102210430586851328	loop-s6-gated-stage1-math-0922	500	0	1	64.8	324	19.2	2460
2102210430586851328	loop-s6-gated-stage1-math-0922	600	0	1	65.0	325	18.6	2483
2102257644113764352	loop-s6-stage1-gated-resume800-step700-0922	700	0	1	63.8	319	20.6	2563
2102257644113764352	loop-s6-stage1-gated-resume800-step700-0922	800	0	1	64.2	321	18.6	2434
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	100	0	1	55.4	277	24.6	2776
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	200	0	1	61.4	307	22.4	2690
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	300	0	1	62.4	312	22.6	2590
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	400	0	1	61.2	306	23.2	2688
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	500	0	1	62.6	313	21.0	2599
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	600	0	1	65.0	325	21.4	2605
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	700	0	1	65.0	325	20.2	2530
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	800	0	1	62.4	312	21.6	2547
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	900	0	1	63.8	319	22.8	2605
2102569643397881856	loop-s6-stage1-gated-res-k512v512-r1-512-1000step-0923b	1000	0	1	64.0	320	20.2	2508
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	100	0	1	59.0	295	20.2	2517
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	200	0	1	62.8	314	22.8	2693
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	300	0	1	62.8	314	20.6	2562
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	400	0	1	62.8	314	21.4	2612
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	500	0	1	62.6	313	22.2	2609
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	600	0	1	61.8	309	23.2	2676
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	700	0	1	65.4	327	18.0	2410
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	800	0	1	63.2	316	19.2	2471
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	900	0	1	65.4	327	21.2	2559
2102657787698880512	loop-s6-stage1-k512v512-r1-512-1000step-0923c	1000	0	1	66.8	334	18.8	2404
2102680718994845696	loop-s6-opd-fkl-gated-s700-0923	10	0	1	63.6	318	22.2	2656
